,a,b,c,k,tau,std(x[-10%:]),x[-1],t/T
70,0.5,0.5,10.0,5.0,3,3.1197807431346505e-07,0.3333333395705471,0.03603
71,0.5,0.5,10.0,5.0,4,3.1883944920222163e-07,0.3333334046463714,0.04117
72,0.5,0.5,10.0,10.0,2,2.9151533868378395e-07,0.5000001406720287,0.03728
73,0.5,0.5,10.0,10.0,3,3.103762831860102e-07,0.49999985595877044,0.04977
74,0.5,0.5,10.0,10.0,4,3.141242222501204e-07,0.5000001656369791,0.07436
75,0.5,1.0,0.5,0.5,2,4.6682206181228697e-07,0.4999997148017858,0.01426
76,0.5,1.0,0.5,0.5,3,5.231549881981151e-07,0.49999972081216776,0.01426
77,0.5,1.0,0.5,0.5,4,5.818573637569989e-07,0.4999997379914167,0.01427
78,0.5,1.0,0.5,1.0,2,3.8943500023787686e-07,0.6666667773928046,0.015130000000000001
79,0.5,1.0,0.5,1.0,3,4.4474471016173e-07,0.6666668306722459,0.01517
80,0.5,1.0,0.5,1.0,4,4.955899777327915e-07,0.6666668942174206,0.01523
81,0.5,1.0,0.5,2.0,2,2.718806942329794e-07,0.7999998563144396,0.01597
82,0.5,1.0,0.5,2.0,3,2.7554082441629305e-07,0.7999998594696738,0.01613
83,0.5,1.0,0.5,2.0,4,2.4354610521713074e-07,0.7999998969856582,0.016280000000000003
84,0.5,1.0,0.5,5.0,2,3.5062487520055766e-07,0.9090908754291326,0.016370000000000003
85,0.5,1.0,0.5,5.0,3,3.1718090110390053e-07,0.9090908742576945,0.01743
86,0.5,1.0,0.5,5.0,4,3.005281574872923e-07,0.9090910179036571,0.01855
87,0.5,1.0,0.5,10.0,2,2.4360775550137e-07,0.9523810939559784,0.01751
88,0.5,1.0,0.5,10.0,3,3.1436060825372644e-07,0.95238079256685,0.019510000000000003
89,0.5,1.0,0.5,10.0,4,2.513368562077956e-07,0.95238091214602,0.02266
90,0.5,1.0,1.0,0.5,2,1.8496351691518628e-07,0.3333332855676876,0.01468
91,0.5,1.0,1.0,0.5,3,2.1064888321073179e-07,0.3333333051980714,0.01473
92,0.5,1.0,1.0,0.5,4,2.354576864498485e-07,0.3333333203937822,0.01476
93,0.5,1.0,1.0,1.0,2,4.358554545728754e-07,0.4999997149017594,0.01467
94,0.5,1.0,1.0,1.0,3,4.011034653198823e-07,0.4999997015726295,0.0148
95,0.5,1.0,1.0,1.0,4,1.574527220563567e-07,0.5000000192372799,0.01568
96,0.5,1.0,1.0,2.0,2,2.736966684583736e-07,0.6666667965717951,0.015790000000000002
97,0.5,1.0,1.0,2.0,3,2.3811650017466375e-07,0.6666667453526808,0.01602
98,0.5,1.0,1.0,2.0,4,2.0250919718437756e-07,0.666666676576212,0.01618
99,0.5,1.0,1.0,5.0,2,2.637210106452272e-07,0.8333333948118541,0.01648
100,0.5,1.0,1.0,5.0,3,2.5512684839758184e-07,0.8333332742978227,0.01738
101,0.5,1.0,1.0,5.0,4,2.8773545408621846e-07,0.8333334687711875,0.01816
102,0.5,1.0,1.0,10.0,2,3.2489870003844894e-07,0.9090910481588287,0.01727
103,0.5,1.0,1.0,10.0,3,2.916957488462594e-07,0.9090910144455283,0.01965
104,0.5,1.0,1.0,10.0,4,2.941489920007454e-07,0.909091035372425,0.02237
105,0.5,1.0,2.0,0.5,2,2.985022037546366e-07,0.20000015547893107,0.014060000000000001
106,0.5,1.0,2.0,0.5,3,3.1578420911929057e-07,0.20000017288337937,0.01411
107,0.5,1.0,2.0,0.5,4,3.285017046142675e-07,0.20000018908705047,0.01416
108,0.5,1.0,2.0,1.0,2,3.027860329150397e-07,0.3333331670217116,0.014530000000000001
109,0.5,1.0,2.0,1.0,3,2.92935457940621e-07,0.33333318346044966,0.0146
110,0.5,1.0,2.0,1.0,4,2.621950563356847e-07,0.33333321579389563,0.01468
111,0.5,1.0,2.0,2.0,2,1.9381709296866382e-07,0.5000001013663372,0.01517
112,0.5,1.0,2.0,2.0,3,2.83654258657935e-07,0.5000001973963382,0.01533
113,0.5,1.0,2.0,2.0,4,2.492416713388146e-07,0.5000000051725801,0.01607
114,0.5,1.0,2.0,5.0,2,2.937999179223012e-07,0.7142857726141905,0.01627
115,0.5,1.0,2.0,5.0,3,2.921618348013912e-07,0.7142856072017251,0.01721
116,0.5,1.0,2.0,5.0,4,2.8494705914963525e-07,0.714285860442239,0.018269999999999998
117,0.5,1.0,2.0,10.0,2,3.0379764003716677e-07,0.8333332543801998,0.01725
118,0.5,1.0,2.0,10.0,3,2.847853116545238e-07,0.833333190075877,0.01955
119,0.5,1.0,2.0,10.0,4,3.212278560626615e-07,0.8333331603290965,0.02221
120,0.5,1.0,5.0,0.5,2,2.833003142290354e-07,0.09090930613987995,0.0128
121,0.5,1.0,5.0,0.5,3,3.1230649242920467e-07,0.0909093349352785,0.01284
122,0.5,1.0,5.0,0.5,4,3.5225686271122827e-07,0.09090936573503718,0.0129
123,0.5,1.0,5.0,1.0,2,4.623015038272514e-07,0.1666664225610718,0.01351
124,0.5,1.0,5.0,1.0,3,2.7385869567389044e-07,0.16666675667497607,0.01397
125,0.5,1.0,5.0,1.0,4,2.2324791678775798e-07,0.16666684486760036,0.01418
126,0.5,1.0,5.0,2.0,2,4.089519774901657e-07,0.28571425892711083,0.01442
127,0.5,1.0,5.0,2.0,3,3.8720688719005944e-07,0.2857144486224757,0.01465
128,0.5,1.0,5.0,2.0,4,3.3147413212032113e-07,0.2857143037125292,0.015280000000000002
129,0.5,1.0,5.0,5.0,2,3.0707702151024943e-07,0.4999999756575605,0.015560000000000001
130,0.5,1.0,5.0,5.0,3,3.3316011274844417e-07,0.5000001646718201,0.01645
131,0.5,1.0,5.0,5.0,4,3.709947899809933e-07,0.49999985465902036,0.01747
132,0.5,1.0,5.0,10.0,2,3.129259576624947e-07,0.666666838810323,0.01688
133,0.5,1.0,5.0,10.0,3,2.88502700250107e-07,0.6666667655239987,0.01905
134,0.5,1.0,5.0,10.0,4,3.2243670587613094e-07,0.6666666125090933,0.02191
135,0.5,1.0,10.0,0.5,2,3.744547036749062e-07,0.04761915992671235,0.01226
136,0.5,1.0,10.0,0.5,3,3.955644993149276e-07,0.047619116950467145,0.01231
137,0.5,1.0,10.0,0.5,4,4.141087445696881e-07,0.04761907012460642,0.01236
138,0.5,1.0,10.0,1.0,2,3.9437590139917785e-07,0.09090931038178335,0.01298
139,0.5,1.0,10.0,1.0,3,3.951606632328652e-07,0.09090935461485201,0.01306
140,0.5,1.0,10.0,1.0,4,3.8836223892186194e-07,0.09090936709505239,0.01315
141,0.5,1.0,10.0,2.0,2,3.2566483261905464e-07,0.16666684002446308,0.01393
142,0.5,1.0,10.0,2.0,3,3.307319736538204e-07,0.16666671133091526,0.0141
143,0.5,1.0,10.0,2.0,4,3.3839572209585735e-07,0.16666649139206283,0.01458
144,0.5,1.0,10.0,5.0,2,2.8242114212491483e-07,0.3333331655441623,0.01526
145,0.5,1.0,10.0,5.0,3,3.3218322506076466e-07,0.3333333329687513,0.01607
146,0.5,1.0,10.0,5.0,4,3.368943914335702e-07,0.33333353985491176,0.01694
